,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
70,1024,4.0,3.7589013779999974,[ 4  9  7 13  7 12 15  1  3 10 16 11  2  0  6 17 14  8],SA,500,500
71,2048,2.0,6.499419734,[ 4  9  7 13 14 12  2  0  3 10 16 11 15  1  6 17  5  8],SA,500,500
72,1,26.0,0.008658605000000819,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,1000,1000
73,2,30.0,0.015662542999997697,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,1000,1000
74,4,30.0,0.02389430299999873,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,1000,1000
75,8,30.0,0.039322175000002346,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,1000,1000
76,16,32.0,0.07323484999999863,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,1000,1000
77,32,28.0,0.13267435299999875,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,1000,1000
78,64,38.0,0.28974983700000223,[13 15  1 17  7  6  6  7 13  7 15  3 11 16  8  3  3  1],SA,1000,1000
79,128,32.0,0.5741320870000024,[17 10 14 12  3  7 13 17  6 16 12  8 13  6  1  6  2 10],SA,1000,1000
80,256,36.0,1.1274108730000023,[12  4 12 16 13  7  4  2  8 17 17  4 12 14  4  5  8  2],SA,1000,1000
81,512,20.0,2.1730761629999975,[ 5  4 10  1  6 12  8  2 16  2 17 12  0 13  8 14 13  3],SA,1000,1000
82,1024,6.0,3.6967018499999966,[14 10  5 15  6  3 16  2  9 17  2 11  1  3  7  0 12  8],SA,1000,1000
83,2048,2.0,6.316672586000003,[14  7  5  2  6  1 15 12  9 17  3 11 16 10 13  0  4  8],SA,1000,1000
84,1,26.0,0.005867608000002633,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,2500,2500
85,2,30.0,0.0119301820000004,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,2500,2500
86,4,30.0,0.02192821900000297,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,2500,2500
87,8,30.0,0.037942184000002044,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,2500,2500
88,16,32.0,0.06803288600000457,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,2500,2500
89,32,28.0,0.1320558680000019,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,2500,2500
90,64,30.0,0.26671610300000026,[13 15  1 17  7  6  6  0 13  7 15  3 11 16  8  3  3  1],SA,2500,2500
91,128,26.0,0.5414233110000026,[17 10 14 12  3  7 13 17  6 16 12  8 13  1  1  6  2 10],SA,2500,2500
92,256,38.0,1.0855253200000021,[12  4 12  9 13  7  4  2  8 17 17  4 12 14  4  5  8  2],SA,2500,2500
93,512,34.0,2.164693879000005,[ 7  4 11 12  6 17  9  4 16 12  0 12  5 15  9  9  3  3],SA,2500,2500
94,1024,4.0,3.9570589870000035,[ 2  8 16  3  7 17 15  0  5 17  9  1 13  4 10 12 14 11],SA,2500,2500
95,2048,2.0,6.646494032,[ 2  8 16  9  7 10 15  0  5 17  4 11 13 14  6  1  3 12],SA,2500,2500
96,1,26.0,0.005475058999998339,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,5000,5000
97,2,30.0,0.011788914000000261,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,5000,5000
98,4,30.0,0.023323447000002773,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,5000,5000
99,8,30.0,0.04166665099999989,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,5000,5000
100,16,32.0,0.08188441400000102,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,5000,5000
101,32,28.0,0.1623900789999979,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,5000,5000
102,64,30.0,0.31264493700000173,[13 15  1 17  7  6  6  0 13  7 15  3 11 16  8  3  3  1],SA,5000,5000
103,128,26.0,0.6133542620000014,[17 10 14 12  3  7 13 17  6 16 12  8 13  1  1  6  2 10],SA,5000,5000
104,256,38.0,1.1713811719999967,[12  4 12  9 13  7  4  2  8 17 17  4 12 14  4  5  8  2],SA,5000,5000
105,512,24.0,2.2569472079999997,[ 8  4 11  7  3 12 13  4 16  2 16 12  0 15  8  5  3  3],SA,5000,5000
106,1024,14.0,4.139238310000003,[15 13 11 14  0  3  7  9 15  1  8 17  7 12  0  9 16  4],SA,5000,5000
107,2048,4.0,6.882645296,[ 5 13 11 14  0  3 12  4 12  1 17 10  7 13 16  9  6  8],SA,5000,5000
108,1,26.0,0.006315659000001972,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,10000,10000
109,2,30.0,0.011122552000003338,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,10000,10000
110,4,30.0,0.02122572999999761,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,10000,10000
111,8,30.0,0.04489002199999703,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,10000,10000
112,16,32.0,0.0824078950000029,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,10000,10000
113,32,28.0,0.1512774309999969,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,10000,10000
114,64,30.0,0.2994363199999981,[13 15  1 17  7  6  6  0 13  7 15  3 11 16  8  3  3  1],SA,10000,10000
115,128,26.0,0.5656671480000028,[17 10 14 12  3  7 13 17  6 16 12  8 13  1  1  6  2 10],SA,10000,10000
116,256,38.0,1.086621645000001,[12  4 12  9 13  7  4  2  8 17 17  4 12 14  4  5  8  2],SA,10000,10000
117,512,24.0,2.1818528049999983,[ 8  4 11  7  3 12 13  4 16  2 16 12  0 15  8  5  3  3],SA,10000,10000
118,1024,6.0,4.179833687000006,[ 5 12 16 10  5  3  9  0 14  1  7  1  8 13  2 17 15  4],SA,10000,10000
119,2048,2.0,5.914723381999998,[ 5 12 16 11  8  3  9  0 14 10  1  6  8 13  2 17 15  4],SA,10000,10000
