,Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate
37,2,1315.0,1.3198907660002988,"[13 16 19  6 12  8  7 15 13 15  3 10 11 15 14 18 16  2  7  0 18 13 11 18
  8 14 15 16  2 16 14 13 10 11 13]",400,0.8,400,0.8
38,4,1370.0,2.3661080270003367,"[ 9 17 12  1 14 17 11 12 19  1 11 19 14 19 13 19 15  2  9  0  2 16 11 18
 15 15 17  8 13  5 17 17 12 13  3]",400,0.8,400,0.8
39,8,1447.0,4.362875051000174,"[19 17 17 10 19 15  2 17 18  8  2 11 14  4 12 17  7 11  8  0 14  8 19 16
 14  0 17 17 19 13 19 11 14 10 14]",400,0.8,400,0.8
40,16,1532.0,8.421025058000396,"[17 16 19 19 13  7  4 13 19  2 18 18  8 11 12 16 19 14  3  0 15  7 13 17
 19  9  7 19 19 15 18 17  9 11 12]",400,0.8,400,0.8
41,32,1622.0,16.51998024300019,"[19 19 19 17 19 17  0 16 18  2  9 19 14  4  1 19 19  5  0  0 18  2  2 15
 18  7 19 18 19 17 14  7 19 18 18]",400,0.8,400,0.8
42,64,1702.0,32.53706753000006,"[15 19 19 19 19 10  0 18 19  1 14 16 18  1  1 19 19 10  0  0 18  5 19 18
 19  0 19 18 14 17 19 19 19 18 19]",400,0.8,400,0.8
43,128,1730.0,65.05209638300039,"[19 19 19 19 19 15  0 19 19  1 17 19 17  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 14 14 19 19 19 19 19 19]",400,0.8,400,0.8
44,256,1730.0,140.06903192400023,"[19 19 19 19 19 15  0 19 19  1 17 19 17  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 14 14 19 19 19 19 19 19]",400,0.8,400,0.8
45,512,1730.0,281.405718383,"[19 19 19 19 19 15  0 19 19  1 17 19 17  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 14 14 19 19 19 19 19 19]",400,0.8,400,0.8
46,1024,1730.0,591.7612174269998,"[19 19 19 19 19 15  0 19 19  1 17 19 17  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 14 14 19 19 19 19 19 19]",400,0.8,400,0.8
47,2048,1730.0,661.129686491,"[19 19 19 19 19 15  0 19 19  1 17 19 17  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 14 14 19 19 19 19 19 19]",400,0.8,400,0.8
48,0,982.0,0.2836835920006706,"[19 13 16  3 17 13 15  0  6  4  8  7  9 16 14 19  5  7 12  6  5 10 10  2
  0 11 17 12  9 18 11  5  5  1  3]",400,1.0,400,1.0
