,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
163,1024,37.0,35.49656209499997,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,100,1.0,100,1.0
164,2048,37.0,35.49656209499997,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,100,1.0,100,1.0
165,2,28.0,0.18679117200002793,"[0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1
 0 0 0]",GA,200,0.2,200,0.2
166,4,31.0,0.3463307009999994,"[1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 1
 0 1 0]",GA,200,0.2,200,0.2
167,8,32.0,0.6604788970000186,"[1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0
 1 0 1]",GA,200,0.2,200,0.2
168,16,38.0,1.2770675579999988,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.2,200,0.2
169,32,38.0,2.5240387230000465,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.2,200,0.2
170,64,38.0,5.337465048000013,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.2,200,0.2
171,128,38.0,10.58490288300004,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.2,200,0.2
172,256,38.0,21.364669455000012,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.2,200,0.2
