,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
41,32,22.0,0.02179969000000881,"[0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 0 1 1 1
 0 0 0]",SA,100,100
42,64,22.0,0.034813373000005754,"[0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1
 0 0 0]",SA,100,100
43,128,21.0,0.05934873600000401,"[1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 0 1
 1 0 0]",SA,100,100
44,256,27.0,0.10660817400000155,"[1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1
 1 0 0]",SA,100,100
45,512,33.0,0.19756552300000862,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0
 1 0 1]",SA,100,100
46,1024,35.0,0.3754324890000049,"[0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 0 1]",SA,100,100
47,2048,37.0,0.7582665059999982,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0
 1 0 1]",SA,100,100
48,1,19.0,0.0006546689999993305,"[0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 1 0 0 0 1 1 0
 1 0 1]",SA,250,250
49,2,19.0,0.003011768999996889,"[0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 1 0 0 0 1 1 0
 1 0 1]",SA,250,250
50,4,17.0,0.00633402699999408,"[0 0 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 1 0 0 0 1 1 0
 1 0 1]",SA,250,250
51,8,22.0,0.012407680999999116,"[1 0 0 0 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 0 0 0 1 0 0
 1 0 1]",SA,250,250
52,16,22.0,0.022596688999996672,"[1 0 0 0 1 0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0
 1 0 1]",SA,250,250
53,32,18.0,0.03068293500000152,"[1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0
 0 1 1]",SA,250,250
54,64,21.0,0.04625628600000198,"[0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 1 1
 0 1 1]",SA,250,250
55,128,20.0,0.0724304589999889,"[1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 1
 1 0 1]",SA,250,250
56,256,17.0,0.12033166300000175,"[0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1
 1 0 1]",SA,250,250
57,512,25.0,0.22394413299998917,"[0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1
 1 0 1]",SA,250,250
58,1024,38.0,0.4025777060000024,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,250,250
59,2048,38.0,0.7754464359999957,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,250,250
60,1,21.0,0.0006274659999974119,"[1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 1 1 1 1
 0 1 0]",SA,500,500
61,2,23.0,0.0030987020000026178,"[1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 1
 0 1 0]",SA,500,500
62,4,25.0,0.006169428999996285,"[1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0
 0 1 0]",SA,500,500
63,8,23.0,0.009470364999998537,"[1 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0
 0 1 0]",SA,500,500
64,16,19.0,0.014165390000002276,"[1 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0
 0 1 0]",SA,500,500
65,32,19.0,0.025444475000000466,"[1 0 1 1 1 1 1 0 0 1 1 0 1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 1 1 1 0
 1 1 0]",SA,500,500
66,64,21.0,0.04025892699999645,"[0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0
 0 1 1]",SA,500,500
67,128,19.0,0.06463235799999723,"[1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0
 0 0 0]",SA,500,500
68,256,20.0,0.11343199899999945,"[0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0
 1 1 0]",SA,500,500
69,512,24.0,0.2149161709999987,"[1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0
 1 1 1]",SA,500,500
70,1024,38.0,0.395713047000001,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,500,500
71,2048,38.0,0.774733862000005,"[0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,500,500
72,1,19.0,0.0006394450000044571,"[0 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0 0 1
 0 1 1]",SA,1000,1000
73,2,19.0,0.002980222999994453,"[0 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1
 0 1 1]",SA,1000,1000
74,4,19.0,0.005757040999995411,"[0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 1
 0 1 1]",SA,1000,1000
75,8,19.0,0.00925586200000339,"[0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1
 0 1 1]",SA,1000,1000
76,16,17.0,0.014030000000005316,"[0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1
 0 1 1]",SA,1000,1000
