,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
218,1024,0.0,36.660055287999995,[ 9  2  8  5  3 13 11  4  6 12 10  1  7  0],RHC,12,20
219,2048,0.0,38.458740225,[ 9  2  8  5  3 13 11  4  6 12 10  1  7  0],RHC,12,20
220,2,22.0,38.492650205000004,[ 8  3  6 13  7 11 13  7  7  2  0 13  9  0],RHC,13,20
221,4,22.0,38.495950967,[ 8  3  6 13  7 11 13  7  7  2  0 13  9  0],RHC,13,20
222,8,20.0,38.502440475,[ 8  3  6 13  7 11 13 10  7  2  0 13  9  0],RHC,13,20
223,16,12.0,38.514815827999996,[ 5  3  6 13  4 11 13 10  7  2  0  2  9  0],RHC,13,20
224,32,10.0,38.53647628,[ 5  3  6 13  4 11 13 10  7  2  0  2  9  7],RHC,13,20
225,64,8.0,38.574491288999994,[ 5  3  6 11  4 11 13 10  7  2  0  2  9  7],RHC,13,20
226,128,8.0,38.652933281,[ 5  3  6 11  4 11 13 10  7  2  0  2  9  7],RHC,13,20
227,256,6.0,38.809304607,[ 5  3  6 11  4  1 13 10  7  2  0  2  9  7],RHC,13,20
228,512,4.0,39.105963982000006,[ 5  3  6 11  4  1 13 10  7  2  0 12  9  7],RHC,13,20
229,1024,4.0,39.728400052,[ 5  3  6 11  4  1 13 10  7  2  0 12  9  7],RHC,13,20
230,2048,4.0,40.981051181,[ 5  3  6 11  4  1 13 10  7  2  0 12  9  7],RHC,13,20
231,2,18.0,41.015566410999995,[ 8 13  0 10  6  2 10 13 13  9  9 12  6  0],RHC,14,20
232,4,18.0,41.019463087000005,[ 8 13  0 10  6  2 10 13 13  9  9 12  6  0],RHC,14,20
233,8,16.0,41.026599449,[ 8 13  0 10  6  2 10 13 13  1  9 12  6  0],RHC,14,20
234,16,12.0,41.039000951000006,[ 8 13  0 10  6  2 10 13  4  1  9 12  6  0],RHC,14,20
235,32,8.0,41.061876047,[ 8 13  0 10  6  2 11 13  4  1  9 12  6  2],RHC,14,20
