,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
33,16,1591.0,136.24465703300302,"[13. 19. 13. 15. 16. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  6. 19. 17.  7. 17.  1. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
34,32,1615.0,264.26177024700155,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  2. 19. 17. 12. 17. 14. 19. 17.  6. 19. 10. 13. 18.]",300,0.5,300,0.5
35,64,1615.0,520.8029660320026,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  2. 19. 17. 12. 17. 14. 19. 17.  6. 19. 10. 13. 18.]",300,0.5,300,0.5
36,128,1619.0,1033.9326869590004,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  5. 14. 17. 12. 17. 14. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
37,256,1619.0,2045.4530164810021,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  5. 14. 17. 12. 17. 14. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
38,512,1619.0,4091.496012304,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  5. 14. 17. 12. 17. 14. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
39,1024,1619.0,7436.126237571003,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  5. 14. 17. 12. 17. 14. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
40,2048,1619.0,7970.0872699460015,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  5. 14. 17. 12. 17. 14. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
41,4096,1619.0,7970.0872699460015,"[13. 19. 17. 18. 13. 18. 16.  1.  4. 16. 11.  5. 19. 18. 15. 18. 19.  0.
  4. 19.  8. 13.  5. 14. 17. 12. 17. 14. 19. 17.  6. 19. 14. 13. 18.]",300,0.5,300,0.5
42,0,878.0,0.11534551300064777,"[ 6 10  0 17  1  5 19 19 10  7  4 10  8  9  5 13  3  7  0 15  1  0  4  6
  7  8 12  6  1  8  3 10  9  4 15]",300,0.75,300,0.75
43,1,1366.0,6.1593188350016135,"[19. 15.  2. 17.  0. 16. 13.  1. 17.  5.  5. 14. 10. 17.  6. 11. 12. 11.
  0.  7. 19. 19. 18. 15. 16. 14. 15.  5. 10. 18. 15. 14. 17. 11. 14.]",300,0.75,300,0.75
44,2,1367.0,12.09898385100314,"[12. 19. 16.  3. 12.  0.  7.  8. 14. 11.  6.  7.  3. 14. 18. 15. 15.  5.
  6. 18. 19. 17. 14.  7. 18. 15.  3. 17. 16. 11. 11. 13. 17.  8. 11.]",300,0.75,300,0.75
45,4,1448.0,24.254709536002338,"[15. 13. 14. 19.  1.  5. 16.  2. 16. 14.  7. 14. 12. 14. 18. 18. 16.  4.
 19. 14. 19. 15. 10.  8.  5.  4. 10. 12.  3. 14.  6. 19. 13. 16.  8.]",300,0.75,300,0.75
46,8,1448.0,48.042620574000466,"[15. 13. 14. 19.  1.  5. 16.  2. 16. 14.  7. 14. 12. 14. 18. 18. 16.  4.
 19. 14. 19. 15. 10.  8.  5.  4. 10. 12.  3. 14.  6. 19. 13. 16.  8.]",300,0.75,300,0.75
